12/12/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 28.75%, http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM171212.asp
21/11/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 28.75%, http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM171121.asp
07/11/2017, El BCRA aumentó su tasa de política monetaria a 28.75%, http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM171107.asp
24/10/2017, El BCRA aumentó su tasa de política monetaria a 27.75% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM171024.asp
10/10/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM171010.asp
26/09/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170926.asp
12/09/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170912.asp
22/08/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170822.asp
08/08/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170808.asp
25/07/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170725.asp
11/07/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170711.asp
27/06/2017, El BCRA mantuvo inalterada su tasa de política monetaria en 26.25% , http://www.bcra.gob.ar/PoliticaMonetaria/ComunicadoPM170627.asp
